Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Yuan Cao|Zhengzhou University!!!An improved evolutionary multi-objective optimization method
Ben Niu|None!!!Weight-aware private matching scheme for Proximity-based Mobile Social Networks*@*A practical group matching scheme for privacy-aware users in mobile social networks*@*P-Match: Priority-Aware Friend Discovery for Proximity-Based Mobile Social Networks
Yang Wei|None!!!An immunization strategy for social network worms based on network vertex influence
Y. Guo|None!!!A Novel Particle Swarm Optimization Algorithm Based on Fuzzy Velocity Updating for Multi-objective Optimization
Fu Xuan|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Weilong Liu|None!!!Framework of Knowledge Sharing in Software Organizations Using Big Data and Social Network
Junhao Wen|None!!!A Hybrid Trust Degree Model in Social Network for Recommender System
Hongkai Xiong|Shanghai Jiao Tong University!!!Graph Theory Application in Cell Nuleus Segmentation, Tracking and Identification
Yun Hu|None!!!Research on software security and compatibility test for mobile application
Hongwu Lv|None!!!A Service-Oriented Model for Autonomic Computing Elements Based upon Queuing Theory
Liangtian Wan|Hohai University!!!Distributed Parameter Estimation for Mobile Wireless Sensor Network Based on Cloud Computing in Battlefield Surveillance System
Zheng Qin|None!!!Secure Conjunctive Multi-Keyword Search for Multiple Data Owners in Cloud Computing
Wensi Huang|None!!!Framework for Context-Aware Computation Offloading in Mobile Cloud Computing
Honggang Zhang|Zhejiang University!!!Green transmit power assignment for cognitive radio networks by applying multi-agent Q-learning approach
Jing-song Hong|Institute of Applied Physics University of Electronic Science and Technology of China!!!Six-band PIFA with low SAR value in mobile phone applications
Tao Tang|None!!!Component Based Design of Fault Tolerant Devices in Cyber Physical System
Hu Qingwu|Wuhan University!!!Design and application of mobile panoramic map based on sphere model
Jingxuan Zhang|None!!!Towards Cloudware Paradigm for Cloud Computing
Xie Gang|None!!!Cyber-physical systems modeling method based on Modelica
Sumian Song|Zhejiang University!!!Towards a framework for cyber attack impact analysis of electric cyber physical systems
Shenya Hu|None!!!Comparative Analysis and Application on Mobile-Heating Technology of Regenerative Energy
Zhifei Wang|National University of Defense Technology!!!A resource allocation oriented modeling method in Cyber-Physical System
Hao Lin|Jiangnan University!!!CARM: Crowd-Sensing Accurate Outdoor RSS Maps with Error-Prone Smartphone Measurements*@*CARM: Crowd-Sensing Accurate Outdoor RSS Maps with Error-Prone Smartphone Measurements*@*A Method for Information Source Locating with Incomplete Observation of Online Social Network
Jiantao Shi|None!!!CLPP: Context-aware location privacy protection for location-based social network
Li Mingchu|None!!!Energy Consumption Analysis Method of CPS Software Based on Architecture Modeling
Su Cai|None!!!Mobile-Based AR Application Helps to Promote EFL Children's Vocabulary Study
Ning Lin|South China University of Technology!!!Social network analysis of information diffusion on Sina Weibo micro-blog system
Ming Zeng|University of Science and Technology Beijing!!!Recovery strategies for service composition in dynamic network
Jiankun Wu|None!!!Transaction of Service Composition in Pervasive Computing and Its Correctness Analysis Based on ASM
James She|None!!!A Cloud-Assisted Framework for Bag-of-Features Tagging in Social Networks*@*Community-Aware Prediction of Virality Timing Using Big Data of Social Cascades
Huabing Zhou|None!!!Design of a panorama parking system based on DM6437
Yongjiao Sun|Northeastern University!!!RSkNN: kNN Search on Road Networks by Incorporating Social Influence
Zhongming Lin|None!!!Research on Distributed Logistics Inventory Model Based on Cloud Computing
Hanhua Chen|Huazhong University of Science and Technology!!!Mining user check-in features for location classification in location-based social networks*@*QuickPoint: Efficiently identifying densest sub-graphs in Online Social Networks for event stream dissemination*@*CBL: Exploiting Community based Locality for Efficient Content Search Service in Online Social Networks*@*Efficient Keyword Searching in Large-scale Social Network Service*@*CBL: Exploiting Community based Locality for Efficient Content Search Service in Online Social Networks*@*Minimizing Inter-Server Communications by Exploiting Self-Similarity in Online Social Networks*@*Piggyback game: Efficient event stream dissemination in Online Social Network systems
Feng Jiang|None!!!Application of ISFET Microsensors with Mobile Network to Build IoT for Water Environment Monitoring
Hongbin Liang|Southwest Jiaotong University!!!Resource allocation for security services in mobile cloud computing*@*Geographic-Based Service Request Scheduling Model for Mobile Cloud Computing
Jianzhong Li|None!!!Dynamic Resource Allocation of Gateways for Packet Transmission in Cyber-Physical Systems*@*Time-Bounded Positive Influence in Social Networks
Weiwei Jiang|None!!!PhD Forum Abstract: Crowd Sensing with Execution Uncertainty*@*PhD Forum Abstract: Crowd Sensing with Execution Uncertainty
Jun Chen|None!!!Limited Intervention Collaborative Decision Making of MAV-UAV Team Based on VFCM
Aidong Chen|None!!!Distributed privacy preserving matchmaking protocol based on dynamic interest level in mobile social networks
Jianyun Sun|None!!!AERS: An Autonomic and Elastic Resource Scheduling Framework for Cloud Applications
Anxuan Kuang|Chongqing University!!!A study on cloud platform for multi-service virtual computing resource contention*@*A study on cloud platform for multi-service virtual computing resource contention
Yan Liu|Northwestern Polytechnical University!!!Disseminating real-time messages in opportunistic mobile social networks: A ranking perspective*@*RestThing: A Restful Web Service Infrastructure for Mash-Up Physical and Web Resources*@*Intelligent parking guidance system based on wireless sensor networks*@*A Glimpse of Energy-Efficient Location-Triggered Mobile Application Design and Implementation in Data Collection Scenarios*@*Intelligent parking guidance system based on wireless sensor networks*@*ActiveCrowd: A Framework for Optimized Multitask Allocation in Mobile Crowdsensing Systems*@*ActiveCrowd: A Framework for Optimized Multitask Allocation in Mobile Crowdsensing Systems
Menglin Li|University of Science and Technology of China!!!Optimal DoS attack strategy against remote state estimation over lossy networks
Gai Hang|Shanghai Jiao Tong University!!!Incentivize Multi-Class Crowd Labeling Under Budget Constraint
Yang Qian|Harbin Engineering University!!!Application of leaky coaxial cable in subway mobile communication system
Chencheng Li|Huazhong University of Science & Technology!!!Distributed private online learning for social big data computing over data center networks
Rongtang Tian|Qilu University of Technology!!!Research on the application of rectangle object constraint in active vision of mobile robot
Zhang Runtong|Beijing Jiaotong University!!!A compact authentication system for applications of two-dimensional code in mobile commerce*
Ziling Wei|National University of Defense Technology!!!Thwarting audio steganography attacks in cloud storage systems
Rong Li|None!!!Modeling for Urban Crowd Daily Behavior Based on Human-Earth Relationship*@*Modeling for Urban Crowd Daily Behavior Based on Human-Earth Relationship
Xuesong Qiu|None!!!Multi-devices composition and maintenance mechanism in mobile social network
Jintian Li|None!!!Graph Based Content Delivery in Mobile Social Networks
Yidong Chen|None!!!Combined Cache Policy for Service Workflow Execution Acceleration
Lihui Lei|None!!!Big Data Sensing and Service: A Tutorial
Kui Geng|Xidian University!!!A Secure Data Self-Destructing Scheme in Cloud Computing
Yingnan Liu|None!!!Evaluating social network reputation based on hybrid efficiency and strategy-proofness
Guolong Chen|None!!!Selecting the Best Solvers: Toward Community Based Crowdsourcing for Disaster Management*@*Selecting the Best Solvers: Toward Community Based Crowdsourcing for Disaster Management*@*Spammer Detection on Weibo Social Network
Lei Qin|None!!!Exploring Coherent Motion Patterns via Structured Trajectory Learning for Crowd Mood Modeling*@*Social Attribute-Aware Force Model: Exploiting Richness of Interaction for Abnormal Crowd Detection
Yu Xu|None!!!An Efficient Trust Propagation Scheme for Predicting Trustworthiness of Service Providers in Service-Oriented Social Networks
Yong Wang|Shanghai Jiao Tong University!!!A Method of Social Network Node Preference Evaluation Based on the Topology Potential*@*Modeling the spreading behavior of passive worms in mobile social networks*@*Application of Virtual Reality Technology in the Maintenance Training System of Mobile Power Stations*@*Fault-Tolerance Research for Mobile Component Application Based on Checkpointing*@*Localizability estimation for mobile robots based on probabilistic grid map and its applications to localization
Wenxin Qiao|Beijing University of Posts and Telecommunications!!!Social Network analysis on Sina Weibo based on K-means algorithm
Zhuqing Li|Beihang University!!!SEDA4SC: A staged event-driven architecture for adaptive service computing runtime
Dongyan Liu|University of Chinese Academy of Sciences!!!Model-driven multi-target tracking in crowd scenes
Xiaolei Liang|Wuhan University of Technology!!!Social Network-based Swarm Optimization algorithm*@*A two-stage cross-domain recommendation for cold start problem in cyber-physical systems
Yanli Hu|None!!!Temporal Social Network: Group Query Processing
Bo Shen|School of Computer Science Northwestern Poly technical University!!!BER Analysis for Controller Area Network Impaired by the Impulse Noise in Cyber-Physical Systems*@*Modeling Effects of Physical Factors on Controller Area Network in Cyber-physical Systems*@*An Efficient Memetic Algorithm for Influence Maximization in Social Networks*@*An extended model of CAN in cyber-physical systems*@*Delay-guaranteed scheduling strategy in cyber-physical systems: a game-theoretic approach
Jiawei Jiang|None!!!An Approach of Semantic Web Service Classification Based on Naive Bayes
Liang Zeng|Normal University!!!The application of mobile Agent in mobile payment
Hailong Yang|Beihang University Beijing!!!CDebugger: A scalable parallel debugger with dynamic communication topology configuration
Minhui Xue|None!!!Attacks and Defenses in Location-Based Social Networks: A Heuristic Number Theory Approach
Yuchen Wang|Wuhan University of Technology!!!The application of FFT in mobile energy efficiency detection terminal and the implementation by DSP
